question,answer,choices.0.text,choices.0.correct,choices.1.text,choices.1.correct,choices.2.text,choices.2.correct,choices.3.text,choices.3.correct,images.0,category
"หลังจากเกิดอุบัติเหตุ ผู้ขับขี่ต้องปฏิบัติสิ่งใดเป็นอันดับแรก",หลังจากเกิดอุบัติเหตุ ผู้ขับขี่ต้องให้สัญญาณเพื่อเตือนให้รถอื่นทราบ,แจ้งกู้ภัย,false,แจ้งตำรวจ,false,แจ้งประกันภัยรถยนต์,false,ให้สัญญาณเพื่อเตือนให้รถอื่นทราบ,true,,เทคนิคการขับรถอย่างปลอดภัย
"หากมีผู้บาดเจ็บหลังจากเกิดอุบัติเหตุ ท่านควรปฏิบัติอย่างไรหากตัวท่านมิได้รับบาดเจ็บ",หากมีผู้บาดเจ็บหลังจากเกิดอุบัติเหตุ ท่านควรปฐมพยาบาลเบื้องต้นแล้วรีบนำส่งโรงพยาบาล,ปฐมพยาบาลเบื้องต้นแล้วรีบนำส่งโรงพยาบาล,true,ไม่ต้องสนใจหากผู้บาดเจ็บไม่ใช่คนที่ท่านรู้จัก,false,แจ้งตำรวจที่อยู่บริเวณใกล้เคียง,false,รีบแจ้งหน่วยกู้ภัยให้เร็วที่สุด,false,,เทคนิคการขับรถอย่างปลอดภัย
"ข้อใดถูกต้องเกี่ยวกับการขับขี่อย่างประหยัดน้ำมัน",รถจะประหยัดน้ำมันหากขับด้วยความเร็วคงที่,รถจะประหยัดน้ำมันมากขึ้นหากวิ่งด้วยความเร็วที่สูงขึ้น,false,รถจะประหยัดน้ำมันหากขับด้วยความเร็วคงที่,true,รถจะประหยัดน้ำมันมากขึ้นหากเร่งเครื่องบ่อยครั้ง,false,รถจะประหยัดน้ำมันมากขึ้นหากวิ่งด้วยความเร็วที่ไม่คงที่,false,,เทคนิคการขับรถอย่างปลอดภัย
"หากกำลังขับขี่รถอยู่บนถนน แล้วฝนเริ่มตก ผู้ขับขี่ควรปฏิบัติอย่างไร",หากกำลังขับขี่รถอยู่บนถนน แล้วฝนเริ่มตก ผู้ขับขี่ควรลดความเร็วของรถลง,ลดความเร็วของรถลง,true,เร่งความเร็วของรถเพื่อให้ผ่านฝนไปให้เร็ว,false,เปิดไฟฉุกเฉินและรีบขับผ่านบริเวณนั้นไป,false,หยุดรถข้างทางทันที,false,,เทคนิคการขับรถอย่างปลอดภัย
"เมื่อขับรถในเวลากลางคืน ผู้ขับขี่ควรปฏิบัติอย่างไร",เมื่อขับรถในเวลากลางคืน ผู้ขับขี่ควรทิ้งระยะห่างระหว่างรถคันหน้าให้มากกว่าปกติ,ทิ้งระยะห่างระหว่างรถคันหน้าให้มากกว่าปกติ,true,เปิดไฟฉุกเฉินขณะทำการแซงรถคันหน้า,false,พยายามขับรถเข้าไปให้ใกล้กับรถคันหน้าเพื่อให้รถคันหน้าเห็นรถเราได้ชัดเจน,false,ใช้ไฟสูงตลอดทางของการขับรถ,false,,เทคนิคการขับรถอย่างปลอดภัย
"ก่อนการขับรถเป็นระยะทางไกลๆ ผู้ขับขี่ควรปฏิบัติอย่างไร",ก่อนการขับรถเป็นระยะทางไกลๆ ผู้ขับขี่ควรพักผ่อนให้เพียงพอ,ดื่มเครื่องดื่มชูกำลังก่อนการเดินทาง,false,พักผ่อนให้เพียงพอ,true,รับประทานอาหารก่อนการเดินทาง,false,หาเพื่อนนั่งไปด้วยขณะเดินทาง,false,,เทคนิคการขับรถอย่างปลอดภัย
"จากสถานการณ์ดังรูป หากต้องการจะเคลื่อนที่ต่อไป ผู้ขับขี่ควรปฏิบัติอย่างไรเป็นลำดับแรก",จากสถานการณ์ดังรูป หากต้องการจะเคลื่อนที่ต่อไป ผู้ขับขี่ควรตรวจสอบความปลอดภัยทางด้านขวา,เปิดสัญญาณไฟ,false,ตรวจสอบความปลอดภัยทางด้านขวา,true,บีบแตรให้สัญญาณ,false,ลดกระจกแล้วโบกมือขอทาง,false,1.8.32.jpg,เทคนิคการขับรถอย่างปลอดภัย
"เมื่อต้องขับรถเข้าใกล้ทางรถไฟที่ไม่มีแผงกั้น ข้อใดต่อไปนี้กล่าวถูกต้อง",เมื่อต้องขับรถเข้าใกล้ทางรถไฟที่ไม่มีแผงกั้น ต้องชะลอรถและควรเตรียมพร้อมที่จะหยุดรถตลอดเวลา,ชะลอรถและควรเตรียมพร้อมที่จะหยุดรถตลอดเวลา,true,เพิ่มความเร็วเพื่อให้ผ่านไปได้เร็ว,false,บีบแตรเตือนเพื่อความปลอดภัย,false,เปิดกระจกเพื่อฟังเสียงสัญญาณเตือนรถไฟ,false,1.8.33.jpg,เทคนิคการขับรถอย่างปลอดภัย
"เมื่อขับผ่านทางที่มีป้ายเตือนว่า “ระวังทางข้างหน้าหินหล่นทับเส้นทางบ่อย” หรือป้ายเตือนดังในรูป ท่านควรปฏิบัติอย่างไร",เมื่อขับผ่านทางที่มีป้ายเตือนว่า “ระวังทางข้างหน้าหินหล่นทับเส้นทางบ่อย” หรือป้ายเตือนดังในรูป ท่านควรชะลอความเร็วลง ขับขี่ด้วยความระมัดระวังมากขึ้น,ชะลอความเร็วลง ขับขี่ด้วยความระมัดระวังมากขึ้น,true,รีบเร่งความเร็วเพื่อผ่านไปอย่างรวดเร็ว,false,ไม่ต้องทำอะไร เพราะโอกาสที่จะเกิดยาก,false,หลีกเลี่ยงไปใช้เส้นทางอื่น,false,1.8.34.jpg,เทคนิคการขับรถอย่างปลอดภัย
"เมื่อพบว่าไฟไหม้เครื่องยนต์ขณะขับรถ ผู้ขับรถควรปฏิบัติอย่างไร",เมื่อพบว่าไฟไหม้เครื่องยนต์ขณะขับรถ ผู้ขับรถควรตั้งสติ ค่อยๆ ขับรถจอดข้างทาง,ขับรถลงแม่น้ำข้างทาง,false,จอดและสละรถทันที,false,ตั้งสติ ค่อยๆ ขับรถจอดข้างทาง,true,แจ้งกู้ภัยทางหลวง,false,,เทคนิคการขับรถอย่างปลอดภัย
"สิ่งใดต่อไปนี้มีผลทำให้รถเปลืองน้ำมัน",การบรรทุกน้ำหนักเกินกว่าที่กำหนด ทำให้รถเปลืองน้ำมัน,ดอกยางสึกหรอ,false,ขับรถด้วยความเร็วคงที่,false,ระยะการปรับเบรกปกติ,false,บรรทุกน้ำหนักเกินกว่าที่กำหนด,true,,เทคนิคการขับรถอย่างปลอดภัย
"ปัจจัยใดต่อไปนี้มีผลต่อการเกิดสถานการณ์อันตรายมากที่สุด",ความไม่พร้อมของคนขับมีผลต่อการเกิดสถานการณ์อันตรายมากที่สุด,ความไม่พร้อมของคนขับ,true,ลักษณะทางภูมิศาสตร์,false,การเคลื่อนที่ของรถ หรือคนเดินเท้า,false,สภาพผิวจราจร,false,,เทคนิคการขับรถอย่างปลอดภัย
"ข้อใดกล่าวถูกต้องเกี่ยวกับการขับรถอย่างปลอดภัย",การเว้นระยะห่างจากรถคันหน้าในขณะฝนตกควรมากกว่าการขับรถในสภาวะปกติ เป็นการขับรถอย่างปลอดภัย,หากง่วงนอนมากควรขับรถด้วยความเร็วสูง เพื่อให้ตื่นตัว,false,การเว้นระยะห่างจากรถคันหน้าในขณะฝนตกควรมากกว่าการขับรถในสภาวะปกติ,true,ไม่จำเป็นต้องตรวจสภาพรถก่อนออกเดินทาง,false,ควรขับรถด้วยความเร็ว 120 กิโลเมตรต่อชั่วโมง เพื่อถึงที่หมายเร็วขึ้น,false,,เทคนิคการขับรถอย่างปลอดภัย
"จากรูป หากท่านต้องการแซงรถข้างหน้าแล้วกลับช่องทางเดินรถด้านซ้าย ท่านจะต้องให้สัญญาณไฟอย่างไร",จากรูป หากท่านต้องการแซงรถข้างหน้าแล้วกลับช่องทางเดินรถด้านซ้าย ท่านจะต้องตรวจสอบความปลอดภัยแล้วเปิดสัญญาณไฟเลี้ยวขวาก่อนแซง,ตรวจสอบความปลอดภัยแล้วเปิดสัญญาณไฟเลี้ยวขวาก่อนแซง,true,เปิดสัญญาณไฟเลี้ยวซ้ายขณะแซง,false,เปิดสัญญาณไฟเลี้ยวขวาก่อนและตามด้วยสัญญาณไฟเลี้ยวซ้ายขณะแซง,false,ไม่จำเป็นต้องเปิดสัญญาณไฟหากรถคันหน้าขับด้วยความเร็วต่ำ,false,1.8.39.jpg,เทคนิคการขับรถอย่างปลอดภัย
"สถานการณ์ใดใช้ไฟฉุกเฉินได้อย่างเหมาะสม",เปิดไฟฉุกเฉินเมื่อรถจอดเสียอยู่บริเวณไหล่ทาง เป็นการใช้ไฟฉุกเฉินได้อย่างเหมาะสม,เปิดไฟฉุกเฉินในขณะที่หมอกลงจัด,false,เปิดไฟฉุกเฉินเมื่อกำลังจะเลี้ยวซ้ายบริเวณทางแยกที่ไม่มีสัญญาณไฟจราจร,false,เปิดไฟฉุกเฉินเพื่อให้ผู้ขับขี่ท่านอื่นทราบว่าตนจะวิ่งตรงไป,false,เปิดไฟฉุกเฉินเมื่อรถจอดเสียอยู่บริเวณไหล่ทาง,true,,เทคนิคการขับรถอย่างปลอดภัย
"รถที่ขับมาด้วยความเร็วสูงแล้วเหยียบเบรกกะทันหัน (รถที่ไม่มีระบบเบรก ABS) จะมีผลอย่างไร",รถที่ขับมาด้วยความเร็วสูงแล้วเหยียบเบรกกะทันหัน (รถที่ไม่มีระบบเบรก ABS) จะมีผลทำให้ล้อจะล็อกและรถอาจจะหมุน,จะหยุดรถได้ตามระยะที่กำหนด,false,รถจะค่อยๆ ชะลอความเร็วลง,false,ล้อจะล็อกและรถอาจจะหมุน,true,ล้อจะล็อกและรถจะหยุดทันที,false,,เทคนิคการขับรถอย่างปลอดภัย
"การหยุดรถอย่างกะทันหัน (รถที่ไม่มีระบบเบรก ABS) ควรปฏิบัติอย่างไร",การหยุดรถอย่างกะทันหัน (รถที่ไม่มีระบบเบรก ABS) ควรเหยียบเบรกสลับกับปล่อยเบรกเป็นจังหวะ,เหยียบเบรกสลับกับปล่อยเบรกเป็นจังหวะ,true,เหยียบเบรกแรงๆ,false,เหยียบเบรกเท้าสลับกับดึงเบรกมือ,false,เหยียบเบรกเท้าและดึงเบรกมือพร้อมกัน,false,,เทคนิคการขับรถอย่างปลอดภัย
"ข้อใดปฏิบัติไม่ถูกต้องในการเบรกฉุกเฉิน",ใช้เบรกมือช่วยเป็นการหยุดรถที่ไม่ถูกต้องในการเบรกฉุกเฉิน,หักพวงมาลัยหลบเมื่อจำเป็นต้องหลบการปะทะด้านหน้า,false,มือทั้งสองข้างต้องจับอยู่ที่พวงมาลัย,false,ใช้เบรกมือช่วย,true,หลีกเลี่ยงการเหยียบกระแทกเบรกสำหรับเบรกที่ไม่ใช่ระบบเบรก ABS,false,,เทคนิคการขับรถอย่างปลอดภัย
"การจอดรถลักษณะใดที่อาจก่อให้เกิดอุบัติเหตุ",การจอดรถซ้อนคัน เป็นการจอดรถลักษณะที่อาจก่อให้เกิดอุบัติเหตุ,จอดรถซ้อนคัน,true,จอดรถชิดขอบทางด้านซ้าย,false,จอดรถในลานจอดรถ,false,จอดรถภายในอาคารจอดรถ,false,,เทคนิคการขับรถอย่างปลอดภัย
"รูปใดต่อไปนี้ ห้ามจอด",ห้ามจอดตามรูป 2. และรูป 3.,รูป 1. และรูป 2.,false,รูป 2. และรูป 3.,true,รูป 1. และรูป 3.,false,ทั้งรูป 1. 2. และ 3.,false,1.8.45.1.jpg,เทคนิคการขับรถอย่างปลอดภัย
"หากท่านจอดรถชิดขอบทางทางด้านซ้ายอยู่ และต้องการที่จะเคลื่อนตัวออก ท่านควรปฏิบัติอย่างไร",หากท่านจอดรถชิดขอบทางทางด้านซ้ายอยู่ และต้องการที่จะเคลื่อนตัวออก ท่านควรมองดูรถที่ตามมาผ่านกระจกมองข้างและกระจกมองหลัง จากนั้นเปิดสัญญาณไฟเลี้ยวขวา,มองดูรถที่ตามมาผ่านกระจกมองข้างและกระจกมองหลัง จากนั้นเปิดสัญญาณไฟเลี้ยวขวา,true,เปิดสัญญาณไฟเพื่อเตือนให้รถคันที่ตามมาชะลอความเร็วลง,false,ไม่จำเป็นต้องหันมองดูรถที่จอดอยู่ข้างหน้า มองแค่รถที่ตามมาก็พอ,false,ให้สัญญาณมือเพื่อขอทาง,false,,เทคนิคการขับรถอย่างปลอดภัย
"เมื่อฝนเริ่มตกหนักในขณะที่ท่านขับรถอยู่ในเขตที่จำกัดความเร็วไม่เกิน 60 กิโลเมตรต่อชั่วโมง ท่านควรปฏิบัติอย่างไร",เมื่อฝนเริ่มตกหนักในขณะที่ท่านขับรถอยู่ในเขตที่จำกัดความเร็วไม่เกิน 60 กิโลเมตรต่อชั่วโมง ท่านควรชะลอความเร็วลง,ขับด้วยความเร็วเท่าเดิม,false,ชะลอความเร็วลง,true,ขับรถเข้าข้างทางและรอจนกว่าฝนจะหยุดตก,false,เร่งความเร็ว,false,,เทคนิคการขับรถอย่างปลอดภัย
"สาเหตุใดต่อไปนี้เป็นสาเหตุหลักที่ทำให้เกิดการชนท้าย",การขับรถชิดคันหน้ามากเกินไป สาเหตุใดต่อไปนี้เป็นสาเหตุหลักที่ทำให้เกิดการชนท้าย,คนข้ามถนนตัดหน้า,false,สัญญาณไฟจราจรเปลี่ยนแปลงโดยฉับพลัน,false,ขับรถชิดคันหน้ามากเกินไป,true,การหยุดรถทุกๆ แยก,false,,เทคนิคการขับรถอย่างปลอดภัย
"การขับรถทิ้งระยะห่างจากรถคันหน้ามากเกินไป จะเกิดผลเสียอย่างไรกับสภาพการจราจร",การขับรถทิ้งระยะห่างจากรถคันหน้ามากเกินไป จะเกิดปัญหาการจราจรติดขัด,การจราจรคล่องตัวมากขึ้น,false,จะขับรถด้วยความปลอดภัยมากขึ้น,false,ลดอุบัติเหตุ,false,เกิดปัญหาการจราจรติดขัด,true,,เทคนิคการขับรถอย่างปลอดภัย
"เพื่อเป็นการป้องกันอุบัติเหตุ ผู้ขับขี่ต้องทิ้งระยะห่างจากรถคันหน้าเป็นระยะเท่าใด",เพื่อเป็นการป้องกันอุบัติเหตุ ผู้ขับขี่ต้องทิ้งระยะห่างให้เหมาะสมกับความเร็วของรถ,ระยะห่างที่เหมาะสมกับความเร็วของรถ,true,2 เมตร,false,3 เมตร,false,ไม่น้อยกว่า 4 เมตร,false,,เทคนิคการขับรถอย่างปลอดภัย
"ข้อใดต่อไปนี้ไม่ถูกต้องในการขับขี่",เมื่อรถคันหลังขับตามมาในระยะกระชั้นชิด ควรเพิ่มความเร็ว เป็นการขับขี่ที่ไม่ถูกต้อง,เมื่อรถคันหลังขับตามมาในระยะกระชั้นชิด ควรเพิ่มความเร็ว,true,น้ำหนักและความเร็วของตัวรถมีผลต่อระยะทางในการหยุดรถ,false,ระยะปลอดภัยของรถใหญ่จะต้องมีมากกว่าระยะปลอดภัยของรถยนต์,false,เมื่อระยะห่างกับรถคันหน้าน้อยเกินไป ควรลดความเร็ว,false,,เทคนิคการขับรถอย่างปลอดภัย
"การเปลี่ยนช่องทางจราจร ควรปฏิบัติอย่างไร",การเปลี่ยนช่องทางจราจร ควรมองกระจกข้าง ให้สัญญาณแล้วเปลี่ยนช่องจราจรเมื่อเห็นว่าปลอดภัย,เปลี่ยนช่องจราจรเมื่อใดก็ได้,false,มองกระจกข้าง ให้สัญญาณแล้วเปลี่ยนช่องจราจรเมื่อเห็นว่าปลอดภัย,true,เปลี่ยนช่องจราจรโดยเร็วเพื่อหลบรถคันอื่น,false,ให้สัญญาณมือและสัญญาณไฟแล้วเปลี่ยนช่องจราจรได้เลย,false,,เทคนิคการขับรถอย่างปลอดภัย
"หากท่านเห็นรถบรรทุกที่อยู่ข้างหน้าเปิดไฟเลี้ยวซ้ายแต่กำลังเคลื่อนไปทางขวา ท่านควรปฏิบัติอย่างไร",หากท่านเห็นรถบรรทุกที่อยู่ข้างหน้าเปิดไฟเลี้ยวซ้ายแต่กำลังเคลื่อนไปทางขวา ท่านควรรักษาระยะห่างไว้และรอให้รถใหญ่เคลื่อนไปในทิศทางที่แน่นอน,รักษาระยะห่างไว้และรอให้รถใหญ่เคลื่อนไปในทิศทางที่แน่นอน,true,ขับเข้าไปใกล้ๆ เพื่อเตรียมแซง,false,ให้เข้าใจว่าผู้ขับขี่รถใหญ่นั้นเปิดสัญญาณไฟผิด,false,เตรียมแซงเมื่อรถใหญ่เริ่มชะลอความเร็ว,false,1.8.53.1.jpg,เทคนิคการขับรถอย่างปลอดภัย
"จากรูป รถคันสีน้ำเงิน หรือรถคันสีเขียว มีสิทธิที่จะได้ไปก่อน",จากรูป รถคันสีเขียว มีสิทธิที่จะได้ไปก่อน,รถคันสีน้ำเงิน,false,รถคันสีเขียว,true,รถคันไหนไปก่อนก็ได้,false,มีสิทธิที่จะไปพร้อมๆ กัน,false,1.8.54.1.jpg,เทคนิคการขับรถอย่างปลอดภัย
"กรณีที่ท่านเห็นรถคันอื่นให้สัญญาณเพื่อเลี้ยวรถหรือเปลี่ยนช่องทางการเดินรถ ท่านต้องปฏิบัติอย่างไร",กรณีที่ท่านเห็นรถคันอื่นให้สัญญาณเพื่อเลี้ยวรถหรือเปลี่ยนช่องทางการเดินรถ ท่านต้องชะลอความเร็วและให้ทาง,ชะลอความเร็วและให้ทาง,true,เร่งความเร็วเพื่อจะไปก่อน,false,หยุดรถ,false,จอดรถ,false,,เทคนิคการขับรถอย่างปลอดภัย
"จากรูป รถคันใดจะต้องให้ทาง",จากรูป รถคันสีขาวจะต้องให้ทาง,รถคันสีขาว,true,รถคันสีแดง,false,รถที่มีความเร็วสูงกว่า,false,รถที่มีความเร็วต่ำกว่า,false,1.8.56.1.jpg,เทคนิคการขับรถอย่างปลอดภัย
"รูปใดแสดงการกลับรถที่ถูกต้อง",รูป 3.แสดงการกลับรถที่ถูกต้อง,รูป 1.,false,รูป 2.,false,รูป 3.,true,รูป 1. และ รูป 3.,false,1.8.57.1.jpg,เทคนิคการขับรถอย่างปลอดภัย
"ข้อใดต่อไปนี้เป็นการปฏิบัติที่ไม่ถูกต้อง",การแซงขณะที่รถข้างหลังกำลังจะแซงรถของท่านเป็นการปฏิบัติที่ไม่ถูกต้อง,ไม่แซงหากรถคันหน้ากำลังแซงอยู่,false,แซงขณะที่รถข้างหลังกำลังจะแซงรถของท่าน,true,ไม่แซงหากมีรถวิ่งสวนมาในระยะใกล้,false,แซงได้หากรถข้างหน้าของท่านเปิดไฟเลี้ยวซ้ายและชะลอความเร็วลง,false,,เทคนิคการขับรถอย่างปลอดภัย
"จากรูป หากรถที่ท่านกำลังจะแซงเปิดสัญญาณไฟเลี้ยวขวา ผู้ขับขี่ควรปฏิบัติอย่างไร",จากรูป หากรถที่ท่านกำลังจะแซงเปิดสัญญาณไฟเลี้ยวขวา ผู้ขับขี่ควรชะลอความเร็วและรอจนกว่ารถคันหน้าเลี้ยวผ่านไป,ชะลอความเร็วและรอจนกว่ารถคันหน้าเลี้ยวผ่านไป,true,เพิ่มความเร็วของรถและแซงผ่านไป,false,ให้สัญญาณไฟสูงเพื่อบอกให้รู้ว่าจะแซงผ่านไปก่อน,false,ให้สัญญาณแตรเพื่อบอกให้รู้ว่าจะแซงผ่านไปก่อน,false,1.8.59.jpg,เทคนิคการขับรถอย่างปลอดภัย
"ข้อใดต่อไปนี้กล่าวได้ถูกต้องเกี่ยวกับการแซงรถคันหน้าที่เคลื่อนตัวด้วยความเร็วที่ใกล้เคียงกัน",การแซงรถคันหน้าที่เคลื่อนตัวด้วยความเร็วที่ใกล้เคียงกันอย่างถูกต้อง ควรใช้ระยะทางและเวลาในการแซงมากขึ้น,ใช้ระยะทางและเวลาในการแซงน้อยลง,false,ใช้ระยะทางมากขึ้น เวลาในการแซงเท่าเดิม,false,ใช้ระยะทางเท่าเดิม เวลาในการแซงมากขึ้น,false,ใช้ระยะทางและเวลาในการแซงมากขึ้น,true,,เทคนิคการขับรถอย่างปลอดภัย
"ข้อใดเป็นการขับรถอย่างปลอดภัย",การเว้นระยะห่างจากรถคันหน้าในระยะที่ผู้ขับขี่สามารถหยุดรถได้ทัน เป็นการขับรถอย่างปลอดภัย,แซงรถคันข้างหน้าในขณะเข้าโค้ง,false,เว้นระยะห่างจากรถคันหน้าในระยะที่ผู้ขับขี่สามารถหยุดรถได้ทัน,true,แซงด้านซ้ายในถนน 2 ช่องจราจร เมื่อรถคันหน้าขับช้า,false,เปิดไฟสูงตลอดเวลาในการขับรถเวลากลางคืน,false,,เทคนิคการขับรถอย่างปลอดภัย
"หากท่านขับรถด้วยความเร็ว 90 กิโลเมตรต่อชั่วโมงแต่ท่านรู้สึกว่าเร็วเกินไป ท่านควรปฏิบัติอย่างไร",หากท่านขับรถด้วยความเร็ว 90 กิโลเมตรต่อชั่วโมงแต่ท่านรู้สึกว่าเร็วเกินไป ท่านควรชะลอความเร็วลงจนท่านคิดว่าปลอดภัย,ชะลอความเร็วลงจนท่านคิดว่าปลอดภัย,true,ขับให้ใกล้เคียง 100 กม.ต่อชั่วโมง,false,ออกจากเส้นทางนั้น,false,หยุดรถของท่านทันที,false,,เทคนิคการขับรถอย่างปลอดภัย
"การขับขี่ในทางลักษณะใดที่ไม่จำเป็นต้องให้สัญญาณไฟเลี้ยว",การเลี้ยวรถที่ทางบังคับเลี้ยว เป็นการขับขี่ในทางลักษณะที่ไม่จำเป็นต้องให้สัญญาณไฟเลี้ยว,ทางเลี้ยวซ้ายเข้าซอย,false,ทางบังคับเลี้ยว,true,ทางเลี้ยวซ้ายออกจากซอย,false,ทางกลับรถ,false,,เทคนิคการขับรถอย่างปลอดภัย
"การเปิดไฟสูงในสถานการณ์ใดถูกต้อง",เปิดไฟสูงขณะที่ไม่มีรถสวนทาง เป็นการเปิดไฟสูงในสถานการณ์ที่ถูกต้อง,เปิดไฟสูงขณะที่ไม่มีรถสวนทาง,true,เปิดไฟสูงขณะฝนตกหนัก,false,เปิดไฟสูงเมื่อรถเกิดอุบัติเหตุ,false,เปิดไฟสูงเมื่อขับรถตามหลังคันหน้า,false,,เทคนิคการขับรถอย่างปลอดภัย
"เมื่อรถของท่านเสียบริเวณกลางถนน ท่านควรปฏิบัติอย่างไร",เมื่อรถของท่านเสียบริเวณกลางถนน ท่านควรเปิดไฟฉุกเฉินและนำรถจอดเข้าข้างทาง,นำสัญลักษณ์รูปสามเหลี่ยมมาไว้ท้ายรถของท่าน,false,จอดรถทิ้งไว้กลางถนน,false,เปิดไฟฉุกเฉินและนำรถจอดเข้าข้างทาง,true,ก่อกองไฟข้างทางในกรณีที่รถท่านเสียเวลากลางคืน,false,,เทคนิคการขับรถอย่างปลอดภัย
"ท่านควรใช้สัญญาณไฟฉุกเฉินในกรณีใด",เมื่อรถของท่านเสียท่านควรใช้สัญญาณไฟฉุกเฉิน,เมื่อรถของท่านเสีย,true,เมื่อท่านขับรถด้วยความเร็วต่ำขณะที่กำลังหลงทาง,false,เมื่อท่านขับรถด้วยความเร็วต่ำเนื่องจากฝนตกหนัก,false,เมื่อท่านต้องการขับผ่านสี่แยกไปในทิศทางตรง,false,,เทคนิคการขับรถอย่างปลอดภัย
"ข้อใดต่อไปนี้กล่าวไม่ถูกต้องสำหรับการเปิดสัญญาณไฟฉุกเฉินตลอดเวลา",การเปิดสัญญาณไฟฉุกเฉินตลอดเวลาเพื่อทำให้ผู้ขับขี่คันอื่นเข้าใจว่าเป็นรถที่ขับเร็ว เป็นการกล่าวที่ไม่ถูกต้อง,ทำให้ไม่สามารถส่งสัญญาณไฟเลี้ยวได้,false,ทำให้ผู้ขับขี่คันอื่นเข้าใจว่าเป็นรถที่ขับเร็ว,true,ทำให้ผู้ขับขี่คันอื่นสับสนว่ารถคันที่เปิดไฟฉุกเฉินกำลังเลี้ยวไปด้านใดด้านหนึ่ง,false,ทำให้ผู้ขับขี่คันอื่นคิดว่าเป็นรถที่จอดนิ่งอยู่,false,,เทคนิคการขับรถอย่างปลอดภัย
"การหยุดรถในสถานการณ์ใดจะใช้ระยะทางมากกว่าปกติ",การหยุดรถในขณะฝนตกจะใช้ระยะทางมากกว่าปกติ,ขณะฝนตก,true,ตอนกลางคืน,false,ขณะที่มีลมแรง,false,ขณะมีหมอก,false,,เทคนิคการขับรถอย่างปลอดภัย
"สิ่งใดเป็นปัจจัยที่ทำให้การเบรกด้อยประสิทธิภาพ",การดื่มสุราก่อนขับรถเป็นปัจจัยที่ทำให้การเบรกด้อยประสิทธิภาพ,การดูแลเอาใจใส่สภาพเครื่องยนต์และระบบช่วงล่าง,false,ความว่องไวในการตอบสนองของร่างกายดีเยี่ยม,false,การดื่มสุราก่อนขับรถ,true,การดูแลเอาใจใส่ลมยาง,false,,เทคนิคการขับรถอย่างปลอดภัย
"หากท่านจอดรถในทางเดินรถหรือบนไหล่ทางในเวลากลางคืน ท่านต้องปฏิบัติอย่างไร",หากท่านจอดรถในทางเดินรถหรือบนไหล่ทางในเวลากลางคืน ท่านต้องเปิดไฟหรี่,เปิดไฟหรี่,true,เปิดไฟเลี้ยวซ้าย,false,เปิดไฟเลี้ยวขวา,false,เปิดไฟต่ำ,false,,เทคนิคการขับรถอย่างปลอดภัย
"จากรูป เมื่อท่านพบรถประจำทางเปิดไฟเลี้ยวขวาเพื่อออกจากป้ายรถเมล์ ท่านควรปฏิบัติอย่างไร",จากรูป เมื่อท่านพบรถประจำทางเปิดไฟเลี้ยวขวาเพื่อออกจากป้ายรถเมล์ ท่านควรชะลอความเร็วและให้รถประจำทางไปก่อน,ไม่ต้องสนใจและขับแซงรถประจำทางไปในทันที,false,ชะลอความเร็วและให้รถประจำทางไปก่อน,true,บีบแตรหรือกะพริบไฟสูง,false,เปิดสัญญาณไฟฉุกเฉิน เพื่อบอกให้รถประจำทางไปก่อน,false,1.8.71.1.jpg,เทคนิคการขับรถอย่างปลอดภัย
"จากรูป หากท่านต้องการแซงบนถนนที่มีรถวิ่งสวนมา ท่านต้องปฏิบัติอย่างไร",จากรูป หากท่านต้องการแซงบนถนนที่มีรถวิ่งสวนมา ท่านต้องหยุดรอให้รถที่ขับสวนมาผ่านไปก่อนแล้วค่อยขับ,ขับแซงไปได้เลยโดยไม่ต้องสนใจรถที่สวนมา,false,หากท่านคิดว่าท่านขับได้เร็วกว่ารถที่สวนมาแล้ว จึงทำการแซงได้ทันที,false,หยุดรอให้รถที่ขับสวนมาผ่านไปก่อนแล้วค่อยขับแซง,true,หากคิดว่าถนนมีความกว้างพอจึงแซงไปได้เลย,false,1.8.72.1.jpg,เทคนิคการขับรถอย่างปลอดภัย
"ท่านกำลังขับขี่ผ่านบริเวณที่มีรถจอดอยู่ข้างทาง แต่ท่านสังเกตเห็นลูกบอลกลิ้งออกมา ท่านควรปฏิบัติอย่างใด",ท่านกำลังขับขี่ผ่านบริเวณที่มีรถจอดอยู่ข้างทาง แต่ท่านสังเกตเห็นลูกบอลกลิ้งออกมา ท่านควรลดความเร็วลงและเตรียมที่จะหยุดรถ,ขับรถด้วยความเร็วเท่าเดิมและให้สัญญาณไฟสูง,false,ขับรถด้วยความเร็วเท่าเดิมและให้สัญญาณแตร,false,ลดความเร็วลงและเตรียมที่จะหยุดรถ,true,จอดรถและโบกมือให้เด็กไปเก็บลูกบอล,false,1.8.73.jpg,เทคนิคการขับรถอย่างปลอดภัย
"จากรูป ข้อใดต่อไปนี้ถูกต้องเกี่ยวกับการแซง",จากรูป สิ่งที่ถูกต้องเกี่ยวกับการแซง คือรถคันหลังไม่สามารถแซงคันหน้าได้,รถคันหลังไม่สามารถแซงคันหน้าได้,true,รถคันหลังสามารถแซงได้หากไม่มีคนข้ามถนน,false,รถคันหลังสามารถแซงได้หากไม่มีรถสวนมา,false,รถคันหลังสามารถแซงได้หากไม่มีป้ายหยุดบนขอบทาง,false,1.8.74.jpg,เทคนิคการขับรถอย่างปลอดภัย
